Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Channel
1258.486572,882.0949184,1264.002044,963.8265613,1238.718727,984.0546399,2
1072.083074,932.7786504,831.671388,725.9034932,734.7518351,822.2104209,2
1005.494853,1061.499289,933.310379,831.0086235,685.732184,928.6364361,2
1063.093306,760.7777117,625.3498674,588.6234627,757.9455575,811.0418684,0
974.0717208,961.5438527,800.4296881,806.499716,804.1985346,968.5234557,2
905.8346328,868.4050084,675.6687672,956.3530948,1259.050295,1102.942172,1
1152.04602,973.020588,1019.459996,948.5647816,1138.578416,829.7434579,2
725.6510501,1058.685286,335.7348377,988.4439515,1128.542821,884.147373,1
1190.77797,548.7493719,744.8626476,583.0378802,1054.883786,927.9091204,0
1199.191923,1003.526237,1164.395232,977.5116838,1122.938469,854.4017405,3
891.8380754,1021.096191,661.4006193,980.8512189,1120.225296,933.8197368,1
1222.821566,677.9380341,1086.667717,769.9742785,1135.210738,1095.435539,3
712.9776237,1132.542366,669.1560801,1005.814105,867.3724575,1189.512234,2
1151.591037,907.3940579,888.2374327,864.5756022,1111.583655,758.610153,1
1256.165799,840.7680768,1163.034101,969.0880787,1358.617753,928.6392087,2
726.2007856,1114.175721,652.4000614,991.4586366,880.5593977,1163.994288,2
994.0482883,1030.29049,912.3458966,833.4974109,731.4176493,968.0384521,2
921.6674254,717.3287704,633.5707549,524.21836,533.7519116,1167.721179,0
1295.051531,898.3541298,1206.176254,1065.62076,1510.70808,832.1290262,2
1082.276965,661.0637449,718.8923028,439.696691,515.7170491,980.8182752,0
1141.746636,814.042362,982.9757443,862.0170354,1155.998182,996.7985703,0
1005.524612,925.2748045,723.1297143,1039.199304,1435.745739,881.5592,0
1342.452574,721.351674,1048.316868,548.431653,727.7255146,726.3964288,2
1011.178797,904.7770759,1151.216568,850.404155,798.322709,1348.121199,3
1020.538379,906.7456006,1335.084743,852.5801299,700.9350006,1528.159432,3
1183.771559,899.5313976,1260.610507,1051.490444,1342.861079,1125.845833,1
1327.801555,640.9089826,1120.506197,579.7545039,839.6334086,937.3763388,2
